Street #,Street,Street Type,Quad,Ward,SSL1,SSL2,SSLFULL,GGStatus
524,RIGGS ,RD ,NE ,4,3738,112,3738    0112,5
717,RITTENHOUSE ,ST ,NW ,4,3161,11,3161    0011,5
1327,RITTENHOUSE ,ST ,NW ,4,2789,102,2789    0102,5
1380,RITTENHOUSE ,ST ,NW ,4,2790,88,2790    0088,5
1243,ROCK CREEK FORD ,RD ,NW ,4,2938,826,2938    0826,5
716,SHEPHERD ,ST ,NW ,4,3133,805,3133    0805,5
837,SHEPHERD ,ST ,NW ,4,3026,2035,3026    2035,5
953,SHEPHERD ,ST ,NW ,4,2909,87,2909    0087,5
24,SHERIDAN ,ST ,NE ,4,3726,17,3726    0017,5
7,SHERMAN ,CIR ,NW ,4,3218,812,3218    0812,5
6032,SLIGO MILL ,RD ,NE ,4,3720,33,3720    0033,5
1732,TAYLOR ,ST ,NW ,4,2634,856,2634    0856,5
600,TEWKESBURY ,PL ,NW ,4,3197,74,3197    0074,5
200,TUCKERMAN ,ST ,NW ,4,3343,813,3343    0813,5
1351,UNDERWOOD ,ST ,NW ,4,2785,11,2785    0011,5
205,UPSHUR ,ST ,NW ,4,3317,812,3317    0812,5
430,UPSHUR ,ST ,NW ,4,3241,35,3241    0035,5
609,UPSHUR ,ST ,NW ,4,3226,70,3226    0070,5
50,VAN BUREN ,ST ,NW ,4,3367,66,3367    0066,5
414,VARNUM ,ST ,NW ,4,3243,58,3243    0058,5
516,VARNUM ,ST ,NW ,4,3226,85,3226    0085,5
1732,VERBENA ,ST ,NW ,4,2762,801,2762    0801,5
817,WEBSTER ,ST ,NW ,4,3019,45,3019    0045,5
1412,WEBSTER ,ST ,NW ,4,2699,33,2699    0033,5
214,WHITTIER ,ST ,NW ,4,3365,58,3365    0058,5
6914,WILLOW ,ST ,NW ,4,3357,39,3357    0039,5
3120,10TH ,ST ,NE ,5,3834,58,3834    0058,5
5043,11TH ,ST ,NE ,5,3900,38,3900    0038,5
2601,12TH ,ST ,NE ,5,3937,54,3937    0054,5
2718,12TH ,ST ,NE ,5,3873,811,3873    0811,5
2916,12TH ,ST ,NE ,5,3875,62,3875    0062,5
2929,12TH ,ST ,NE ,5,3934,26,3934    0026,5
2930,12TH ,ST ,NE ,5,3875,806,3875    0806,5
4212,12TH ,PL ,NE ,5,3920,93,3920    0093,5
4310,12TH ,PL ,NE ,5,3919,94,3919    0094,5
2261,13TH ,ST ,NE ,5,3952,133,3952    0133,5
2268,13TH ,ST ,NE ,5,3942,25,3942    0025,5
2364,13TH ,PL ,NE ,5,3952,54,3952    0054,5
4300,13TH ,PL ,NE ,5,3974,31,3974    0031,5
4414,13TH ,PL ,NE ,5,3975,57,3975    0057,5
2211,14TH ,ST ,NE ,5,4118,55,4118    0055,5
2202,15TH ,ST ,NE ,5,4118,48,4118    0048,5
2343,15TH ,ST ,NE ,5,4121,811,4121    0811,5
1146,16TH ,ST ,NE ,5,4076,196,4076    0196,5
1221,16TH ,ST ,NE ,5,4078,210,4078    0210,5
1223,16TH ,ST ,NE ,5,4078,209,4078    0209,5
4405,16TH ,ST ,NE ,5,4167,3,4167    0003,5
3217,17TH ,ST ,NE ,5,4142,25,4142    0025,5
1244,18TH ,ST ,NE ,5,4445,827,4445    0827,5
3504,18TH ,ST ,NE ,5,4147,43,4147    0043,5
1501,1ST ,ST ,NW ,5,615,228,0615    0228,5
1522,1ST ,ST ,NW ,5,552,164,0552    0164,5
1523,1ST ,ST ,NW ,5,615,235,0615    0235,5
2022,1ST ,ST ,NW ,5,3116,8,3116    0008,5
2323,1ST ,ST ,NW ,5,3124,36,3124    0036,5
2417,1ST ,ST ,NW ,5,3127,52,3127    0052,5
820,20TH ,ST ,NE ,5,4495,55,4495    0055,5
